Date,Description,Amount,Merchant,Account,Likely Expense Category
07/31/2026,MOBILE PAYMENT - THANK YOU,-2691.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/31/2026,TAZIKIS MEMPHIS Memphis TN,75.00,TAZIKIS MEMPHIS Memphis TN,Business Amex,Business Meals & Entertainment
07/30/2026,WHOLEFDS PPL #10480 MEMPHIS TN,8.23,WHOLEFDS PPL #10480 MEMPHIS TN,Business Amex,Owner / Personal Review
07/30/2026,WHOLEFDS PPL #10480 MEMPHIS TN,84.44,WHOLEFDS PPL #10480 MEMPHIS TN,Business Amex,Owner / Personal Review
07/29/2026,BARTLETT DONUTS 4368BARTLETT TN,8.28,BARTLETT DONUTS 4368BARTLETT TN,Business Amex,Business Meals & Entertainment
07/29/2026,EL MEZCAL MEXICAN REMEMPHIS TN,19.95,EL MEZCAL MEXICAN REMEMPHIS TN,Business Amex,Business Meals & Entertainment
07/28/2026,PREM CAR RENTAL PROTECTION 800-228-6855,24.95,PREM CAR RENTAL PROTECTION 800-228-6855,Business Amex,Travel & Lodging
07/28/2026,STONEY RIVER #5013 GERMANTOWN TN,38.63,STONEY RIVER #5013 GERMANTOWN TN,Business Amex,Business Meals & Entertainment
07/28/2026,TAZIKIS MEMPHIS Memphis TN,2.73,TAZIKIS MEMPHIS Memphis TN,Business Amex,Business Meals & Entertainment
07/28/2026,TAZIKIS MEMPHIS Memphis TN,20.82,TAZIKIS MEMPHIS Memphis TN,Business Amex,Business Meals & Entertainment
07/27/2026,AplPay JERSEY MIKES BARTLETT TN,15.96,AplPay JERSEY MIKES BARTLETT TN,Business Amex,Business Meals & Entertainment
07/27/2026,CHICK-FIL-A MEMPHIS TN,13.55,CHICK-FIL-A MEMPHIS TN,Business Amex,Business Meals & Entertainment
07/27/2026,GERMANTOWN DENTAL GRGERMANTOWN TN,26.00,GERMANTOWN DENTAL GRGERMANTOWN TN,Business Amex,Owner / Personal Review
07/26/2026,AplPay HIGH POINT GRMEMPHIS TN,1.38,AplPay HIGH POINT GRMEMPHIS TN,Business Amex,Business Meals & Entertainment
07/26/2026,AplPay STARBUCKS TERATLANTA GA,27.92,AplPay STARBUCKS TERATLANTA GA,Business Amex,Business Meals & Entertainment
07/26/2026,AplPay TST* HACHIYA MOUNT PLEASAN SC,54.38,AplPay TST* HACHIYA MOUNT PLEASAN SC,Business Amex,Business Meals & Entertainment
07/26/2026,ENTERPRISE REN186369CHARLESTON SC,324.70,ENTERPRISE REN186369CHARLESTON SC,Business Amex,Travel & Lodging
07/26/2026,PHO SAIGON 068880022MEMPHIS TN,25.01,PHO SAIGON 068880022MEMPHIS TN,Business Amex,Business Meals & Entertainment
07/26/2026,UBER EATS help.uber.com CA,24.20,UBER EATS help.uber.com CA,Business Amex,Travel & Lodging
07/25/2026,AplPay PALMETTORE* PCHARLESTON SC,105.30,AplPay PALMETTORE* PCHARLESTON SC,Business Amex,Owner / Personal Review
07/25/2026,AplPay TST* METTO COMOUNT PLEASANT SC,2.49,AplPay TST* METTO COMOUNT PLEASANT SC,Business Amex,Business Meals & Entertainment
07/25/2026,AplPay TST* METTO COMOUNT PLEASANT SC,28.20,AplPay TST* METTO COMOUNT PLEASANT SC,Business Amex,Business Meals & Entertainment
07/24/2026,RUBY'S NEW YORK STYLMT PLEASANT SC,47.06,RUBY'S NEW YORK STYLMT PLEASANT SC,Business Amex,Business Meals & Entertainment
07/24/2026,TST* MELFIS - CHS 00CHARLESTON SC,53.37,TST* MELFIS - CHS 00CHARLESTON SC,Business Amex,Business Meals & Entertainment
07/24/2026,TST* SULLIVANS FISH SULLIVANS ISLAN SC,96.83,TST* SULLIVANS FISH SULLIVANS ISLAN SC,Business Amex,Business Meals & Entertainment
07/23/2026,ATL BELTLINE ST2768 ATLANTA GA,5.13,ATL BELTLINE ST2768 ATLANTA GA,Business Amex,Travel & Lodging
07/23/2026,ATL BELTLINE ST2768 ATLANTA GA,5.13,ATL BELTLINE ST2768 ATLANTA GA,Business Amex,Travel & Lodging
07/23/2026,AplPay CHICK-FIL-A RMEMPHIS TN,10.87,AplPay CHICK-FIL-A RMEMPHIS TN,Business Amex,Business Meals & Entertainment
07/23/2026,AplPay XPRESSPARK 88CHARLESTON SC,11.57,AplPay XPRESSPARK 88CHARLESTON SC,Business Amex,Business Meals & Entertainment
07/23/2026,MOBILE PAYMENT - THANK YOU,-1300.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/23/2026,TAVERN AND TABLE MT PLEASANT SC,66.93,TAVERN AND TABLE MT PLEASANT SC,Business Amex,Business Meals & Entertainment
07/23/2026,UBER EATS help.uber.com CA,37.00,UBER EATS help.uber.com CA,Business Amex,Travel & Lodging
07/22/2026,AplPay CHICK-FIL-A #MEMPHIS TN,7.61,AplPay CHICK-FIL-A #MEMPHIS TN,Business Amex,Business Meals & Entertainment
07/22/2026,TST* BAIN BARBECUE &MEMPHIS TN,71.54,TST* BAIN BARBECUE &MEMPHIS TN,Business Amex,Business Meals & Entertainment
07/21/2026,TAZIKIS MEMPHIS Memphis TN,20.83,TAZIKIS MEMPHIS Memphis TN,Business Amex,Business Meals & Entertainment
07/20/2026,MINGXIA RESTAURANT ICORDOVA TN,29.75,MINGXIA RESTAURANT ICORDOVA TN,Business Amex,Business Meals & Entertainment
07/20/2026,THE CITY SILO Memphis TN,23.60,THE CITY SILO Memphis TN,Business Amex,Business Meals & Entertainment
07/19/2026,AMEX RESY CREDIT,-50.00,AMEX RESY CREDIT,Business Amex,Business Meals & Entertainment
07/19/2026,MALCO POWERHOUSE MEMPHIS TN,31.64,MALCO POWERHOUSE MEMPHIS TN,Business Amex,Owner / Personal Review
07/19/2026,MARU HANDROLL BAR MEMPHIS TN,68.12,MARU HANDROLL BAR MEMPHIS TN,Business Amex,Business Meals & Entertainment
07/19/2026,SHELL SERVICE STATIOMEMPHIS TN,56.33,SHELL SERVICE STATIOMEMPHIS TN,Business Amex,Fuel & Auto
07/18/2026,CONGREGATION COFFEE GERMANTOWN TN,7.69,CONGREGATION COFFEE GERMANTOWN TN,Business Amex,Business Meals & Entertainment
07/18/2026,PY *SALAD STATION GEGERMANTOWN TN,35.23,PY *SALAD STATION GEGERMANTOWN TN,Business Amex,Business Meals & Entertainment
07/17/2026,TAZIKIS MEMPHIS Memphis TN,20.83,TAZIKIS MEMPHIS Memphis TN,Business Amex,Business Meals & Entertainment
07/17/2026,THE CITY SILO Memphis TN,23.60,THE CITY SILO Memphis TN,Business Amex,Business Meals & Entertainment
07/16/2026,AMEX Dining Credit,-10.00,AMEX Dining Credit,Business Amex,Business Meals & Entertainment
07/16/2026,EXXONMOBIL BARTLETT TN,3.83,EXXONMOBIL BARTLETT TN,Business Amex,Fuel & Auto
07/16/2026,GRUBHUB*CHICKFILA NEW YORK NY,30.43,GRUBHUB*CHICKFILA NEW YORK NY,Business Amex,Business Meals & Entertainment
07/16/2026,JERSEY MIKES 4073 40BARTLETT TN,15.96,JERSEY MIKES 4073 40BARTLETT TN,Business Amex,Business Meals & Entertainment
07/16/2026,LANDERS FORD INC 180MEMPHIS TN,-86.18,LANDERS FORD INC 180MEMPHIS TN,Business Amex,Fuel & Auto
07/16/2026,MINGXIA RESTAURANT ICORDOVA TN,34.20,MINGXIA RESTAURANT ICORDOVA TN,Business Amex,Business Meals & Entertainment
07/16/2026,WALGREEN MEMPHIS TN,47.96,WALGREEN MEMPHIS TN,Business Amex,Owner / Personal Review
07/15/2026,AplPay DNC GE WEST MW. MEMPHIS AR,19.28,AplPay DNC GE WEST MW. MEMPHIS AR,Business Amex,Business Meals & Entertainment
07/15/2026,AplPay POSHMARK support@poshmark.comCA,109.74,AplPay POSHMARK support@poshmark.comCA,Business Amex,Owner / Personal Review
07/15/2026,LOVE'S #0759 INSIDE/HAZEN AR,3.96,LOVE'S #0759 INSIDE/HAZEN AR,Business Amex,Business Meals & Entertainment
07/15/2026,LOVE'S #0759 OUTSIDEHAZEN AR,52.38,LOVE'S #0759 OUTSIDEHAZEN AR,Business Amex,Fuel & Auto
07/14/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/14/2026,TST* CATFISH CABIN 0JACKSON TN,66.46,TST* CATFISH CABIN 0JACKSON TN,Business Amex,Business Meals & Entertainment
07/14/2026,TST* EL MERO INC 000CORDOVA TN,42.13,TST* EL MERO INC 000CORDOVA TN,Business Amex,Business Meals & Entertainment
07/13/2026,NORDSTROM DIRECT http://shop.nordstroWA,151.46,NORDSTROM DIRECT http://shop.nordstroWA,Business Amex,Owner / Personal Review
07/13/2026,PILOT_00053 00053 HURRICNE MLLS TN,40.76,PILOT_00053 00053 HURRICNE MLLS TN,Business Amex,Fuel & Auto
07/13/2026,TST* FROTHY MONKEY -NASHVILLE TN,4.66,TST* FROTHY MONKEY -NASHVILLE TN,Business Amex,Business Meals & Entertainment
07/12/2026,LAZ PARKING M32180-FNASHVILLE TN,9.38,LAZ PARKING M32180-FNASHVILLE TN,Business Amex,Travel & Lodging
07/12/2026,NORDSTROM NASHVILLE TN,356.63,NORDSTROM NASHVILLE TN,Business Amex,Owner / Personal Review
07/12/2026,RH NASHVILLE RESTAURNASHVILLE TN,95.35,RH NASHVILLE RESTAURNASHVILLE TN,Business Amex,Business Meals & Entertainment
07/12/2026,TST* HENRIETTA RED 0NASHVILLE TN,152.83,TST* HENRIETTA RED 0NASHVILLE TN,Business Amex,Business Meals & Entertainment
07/12/2026,W Nashville Nashville TN,12.98,W Nashville Nashville TN,Business Amex,Travel & Lodging
07/12/2026,ZARA 13776 13776 NASHVILLE TN,335.30,ZARA 13776 13776 NASHVILLE TN,Business Amex,Owner / Personal Review
07/11/2026,RAISING CANE'S 1356 JACKSON TN,23.14,RAISING CANE'S 1356 JACKSON TN,Business Amex,Business Meals & Entertainment
07/11/2026,SPEEDWAY 45903 00004HURRICANE MIL TN,48.15,SPEEDWAY 45903 00004HURRICANE MIL TN,Business Amex,Fuel & Auto
