Date,Description,Amount,Merchant,Account,Likely Expense Category
2026-05-01,INTUIT 95789953 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,103.54,INTUIT 95789953,BofA Business Checking,Sales Revenue
2026-05-04,INTUIT 99299543 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,514.40,INTUIT 99299543,BofA Business Checking,Sales Revenue
2026-05-05,INTUIT 07553833 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,292.50,INTUIT 07553833,BofA Business Checking,Sales Revenue
2026-05-06,INTUIT 09245313 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,504.75,INTUIT 09245313,BofA Business Checking,Sales Revenue
2026-05-07,INTUIT 13688933 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,377.29,INTUIT 13688933,BofA Business Checking,Sales Revenue
2026-05-08,BKOFAMERICA MOBILE 05/08 3630069771 DEPOSIT *MOBILE TN,170.00,BKOFAMERICA MOBILE 05/08 3630069771 DEPOSIT *MOBILE TN,BofA Business Checking,Sales Revenue
2026-05-11,INTUIT 19858993 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,762.50,INTUIT 19858993,BofA Business Checking,Sales Revenue
2026-05-14,INTUIT 35292633 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,360.00,INTUIT 35292633,BofA Business Checking,Sales Revenue
2026-05-15,Shopify DES:Shopify ID:ST-U0L0K6F2O2P8 INDN:ZACHARY FEINSTONE CO,11.06,Shopify,BofA Business Checking,Sales Revenue
2026-05-18,BKOFAMERICA MOBILE 05/18 3700796303 DEPOSIT *MOBILE TN,600.00,BKOFAMERICA MOBILE 05/18 3700796303 DEPOSIT *MOBILE TN,BofA Business Checking,Sales Revenue
2026-05-18,INTUIT 41242983 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,112.50,INTUIT 41242983,BofA Business Checking,Sales Revenue
2026-05-19,INTUIT 47881923 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,72.00,INTUIT 47881923,BofA Business Checking,Sales Revenue
2026-05-20,INTUIT 50977373 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,166.00,INTUIT 50977373,BofA Business Checking,Sales Revenue
2026-05-21,INTUIT 56307713 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,62.00,INTUIT 56307713,BofA Business Checking,Sales Revenue
2026-05-22,INTUIT 59170103 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,688.50,INTUIT 59170103,BofA Business Checking,Sales Revenue
2026-05-22,Shopify DES:Shopify ID:ST-U9J4L1V4X9S7 INDN:ZACHARY FEINSTONE CO,11.06,Shopify,BofA Business Checking,Sales Revenue
2026-05-26,INTUIT 63984053 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,270.00,INTUIT 63984053,BofA Business Checking,Sales Revenue
2026-05-26,INTUIT 62391513 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,31.00,INTUIT 62391513,BofA Business Checking,Sales Revenue
2026-05-27,INTUIT 70078333 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,365.50,INTUIT 70078333,BofA Business Checking,Sales Revenue
2026-05-27,SHOPIFY DES:SHOPIFY ID:ST-Z7T0L7M2D3W6 INDN:ZACHARY FEINSTONE CO ID:,57.96,SHOPIFY,BofA Business Checking,Sales Revenue
2026-05-28,INTUIT 72093043 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,2561.70,INTUIT 72093043,BofA Business Checking,Sales Revenue
2026-05-29,INTUIT 77682073 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,225.00,INTUIT 77682073,BofA Business Checking,Sales Revenue
2026-05-01,VENMO DES:PAYMENT ID:1049961572426 INDN:ZACH FEINSTONE CO,-75.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-05-01,INTUIT 99157953 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-3.48,INTUIT 99157953,BofA Business Checking,Bank & Processing Fees
2026-05-04,"AMERICAN EXPRESS DES:ACH PMT ID:M3172 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-04,INTUIT 03675543 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-9.79,INTUIT 03675543,BofA Business Checking,Bank & Processing Fees
2026-05-05,INTUIT 11731333 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-8.75,INTUIT 11731333,BofA Business Checking,Bank & Processing Fees
2026-05-06,INTUIT 13378313 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-17.11,INTUIT 13378313,BofA Business Checking,Bank & Processing Fees
2026-05-07,INTUIT 17746933 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-11.91,INTUIT 17746933,BofA Business Checking,Bank & Processing Fees
2026-05-08,"AMERICAN EXPRESS DES:ACH PMT ID:M4540 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-08,"AMERICAN EXPRESS DES:ACH PMT ID:M3520 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-11,INTUIT 23806493 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-26.50,INTUIT 23806493,BofA Business Checking,Bank & Processing Fees
2026-05-13,TWINSPIRES DES:TWINSPIRES ID:a00002474353514 INDN:4872678979640239 CO,-100.00,TWINSPIRES,BofA Business Checking,Owner / Personal Review
2026-05-14,"AMERICAN EXPRESS DES:ACH PMT ID:M4730 INDN:SOBREW, LLC CO ID:1133133497",-1016.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-14,INTUIT 38982133 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-10.76,INTUIT 38982133,BofA Business Checking,Bank & Processing Fees
2026-05-18,TWINSPIRES DES:TWINSPIRES ID:a00002478445927 INDN:4872678979640239 CO,-100.00,TWINSPIRES,BofA Business Checking,Owner / Personal Review
2026-05-18,INTUIT 44840983 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-3.94,INTUIT 44840983,BofA Business Checking,Bank & Processing Fees
2026-05-19,INTUIT 51335423 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-1.44,INTUIT 51335423,BofA Business Checking,Bank & Processing Fees
2026-05-20,"AMERICAN EXPRESS DES:ACH PMT ID:M6688 INDN:SOBREW, LLC CO ID:1133133497",-1030.78,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-20,INTUIT 54348873 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-5.15,INTUIT 54348873,BofA Business Checking,Bank & Processing Fees
2026-05-21,INTUIT 59575713 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-0.62,INTUIT 59575713,BofA Business Checking,Bank & Processing Fees
2026-05-22,"AMERICAN EXPRESS DES:ACH PMT ID:M3172 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-22,INTUIT 62413603 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-24.11,INTUIT 62413603,BofA Business Checking,Bank & Processing Fees
2026-05-26,INTUIT 67123053 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-9.45,INTUIT 67123053,BofA Business Checking,Bank & Processing Fees
2026-05-26,INTUIT 65559513 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-0.93,INTUIT 65559513,BofA Business Checking,Bank & Processing Fees
2026-05-27,INTUIT 73069333 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-12.27,INTUIT 73069333,BofA Business Checking,Bank & Processing Fees
2026-05-28,"AMERICAN EXPRESS DES:ACH PMT ID:M0736 INDN:SOBREW, LLC CO ID:1133133497",-2300.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-05-28,INTUIT 75023543 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-54.69,INTUIT 75023543,BofA Business Checking,Bank & Processing Fees
2026-05-29,INTUIT 80489573 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-6.72,INTUIT 80489573,BofA Business Checking,Bank & Processing Fees
