Date,Description,Amount,Merchant,Account,Likely Expense Category
2026-08-06,Lender's Capital Contribution - split from transfer x5726 to x8548,-21428.57,Internal Transfer,Sobrew Checking,Lender's Capital Contribution
2026-08-06,Lender's Member Loan @ 4% - indefinite term - split from transfer x5726 to x8548,-78571.43,Internal Transfer,Sobrew Checking,Lender's Member Loan
2026-08-06,FedNow deposit from Intuit,-0.03,Intuit,Sobrew Checking,Transfer / Credit Card Payment
2026-08-06,FedNow deposit from Intuit,-0.11,Intuit,Sobrew Checking,Transfer / Credit Card Payment
2026-08-06,Owner capital contribution from Zachary Wilder Feinstone,-50000.00,Zachary Wilder Feinstone,Sobrew Checking,Owner Contribution / Equity
2026-08-07,DEPOSIT INTUIT 83631623,-967.50,Intuit,Sobrew Checking,Sales Revenue
2026-08-10,DEPOSIT INTUIT 86829673,-720.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-12,Shopify deposit,-65.43,Shopify,Sobrew Checking,Sales Revenue
2026-08-12,DEPOSIT INTUIT 95561883,-415.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-12,DDA MOBILE DEPOSIT,-425.00,Mobile Deposit,Sobrew Checking,Sales Revenue
2026-08-12,DDA MOBILE DEPOSIT,-240.00,Mobile Deposit,Sobrew Checking,Sales Revenue
2026-08-13,DEPOSIT INTUIT 98929423,-429.80,Intuit,Sobrew Checking,Sales Revenue
2026-08-14,DEPOSIT INTUIT 03598353,-275.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-17,DEPOSIT INTUIT 08735373,-127.50,Intuit,Sobrew Checking,Sales Revenue
2026-08-17,CASHOUT VENMO,-235.34,Venmo,Sobrew Checking,Sales Revenue
2026-08-17,DEPOSIT INTUIT 06834383,-544.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-18,Shopify deposit,-40.23,Shopify,Sobrew Checking,Sales Revenue
2026-08-18,DEPOSIT INTUIT 13606873,-1172.20,Intuit,Sobrew Checking,Sales Revenue
2026-08-19,DEPOSIT INTUIT 16838203,-561.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-20,DEPOSIT INTUIT 21030483,-457.44,Intuit,Sobrew Checking,Sales Revenue
2026-08-21,SHOPIFY deposit,-23.00,Shopify,Sobrew Checking,Sales Revenue
2026-08-21,DEPOSIT INTUIT 24599493,-290.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-21,DDA MOBILE DEPOSIT,-480.00,Mobile Deposit,Sobrew Checking,Sales Revenue
2026-08-24,DEPOSIT INTUIT 26971223,-818.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-25,DEPOSIT INTUIT 32263623,-542.00,Intuit,Sobrew Checking,Sales Revenue
