Date,Description,Amount,Merchant,Account,Likely Expense Category
2026-08-03,Mobile deposit,-679.00,Bank of America Mobile,Sobrew Checking,Sales Revenue
2026-08-03,Mobile deposit,-280.00,Bank of America Mobile,Sobrew Checking,Sales Revenue
2026-08-03,Intuit deposit,-123.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-03,Intuit deposit,-80.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-03,Venmo payment (payee not shown),562.73,Venmo,Sobrew Checking,Payroll Wages & Taxes
2026-08-03,Venmo payment (payee not shown),487.84,Venmo,Sobrew Checking,Payroll Wages & Taxes
2026-08-03,American Express ACH payment,300.00,American Express,Sobrew Checking,Transfer / Credit Card Payment
2026-08-03,Venmo payment (payee not shown),300.00,Venmo,Sobrew Checking,Payroll Wages & Taxes
2026-08-03,Venmo payment (payee not shown),165.18,Venmo,Sobrew Checking,Payroll Wages & Taxes
2026-08-03,Intuit transaction fee,4.31,Intuit,Sobrew Checking,Bank & Processing Fees
2026-08-03,Intuit transaction fee,0.80,Intuit,Sobrew Checking,Bank & Processing Fees
2026-08-04,Intuit deposit,-1288.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-04,Sugar Avenue LLC payment,1424.69,Sugar Avenue LLC,Sobrew Checking,Food & Beverage Ingredients COGS
2026-08-04,American Express ACH payment,150.00,American Express,Sobrew Checking,Transfer / Credit Card Payment
2026-08-04,Intuit transaction fee,15.41,Intuit,Sobrew Checking,Bank & Processing Fees
2026-08-04,Costco purchase,203.84,Costco,Sobrew Checking,Office & Retail Supplies
2026-08-05,ATM deposit,-842.50,Bank of America ATM,Sobrew Checking,Sales Revenue
2026-08-05,Mobile deposit,-745.20,Bank of America Mobile,Sobrew Checking,Sales Revenue
2026-08-05,Intuit deposit,-62.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-05,Zelle payment to Benjamin Nesbitt,200.00,Benjamin Nesbitt,Sobrew Checking,Contract Labor / Reimbursements
2026-08-05,Intuit transaction fee,0.62,Intuit,Sobrew Checking,Bank & Processing Fees
2026-08-06,Intuit deposit,-404.00,Intuit,Sobrew Checking,Sales Revenue
2026-08-06,American Express ACH payment,500.00,American Express,Sobrew Checking,Transfer / Credit Card Payment
2026-08-06,AT&T payment,64.20,AT&T,Sobrew Checking,Telecom & Internet
2026-08-06,Intuit transaction fee,5.63,Intuit,Sobrew Checking,Bank & Processing Fees
2026-08-07,American Express ACH payment,1500.00,American Express,Sobrew Checking,Transfer / Credit Card Payment
2026-08-07,PayPal purchase - Buckeye Coffee,370.00,Buckeye Coffee,Sobrew Checking,Coffee & Ingredients COGS
2026-08-10,American Express ACH payment,200.00,American Express,Sobrew Checking,Transfer / Credit Card Payment
